Timestamp,What is your age?,What is your occupation?,How often do you/your household eat out at restaurants?,How often do you/your household usually shop for food and groceries?,How do you/your household shop for groceries?,How much do you/your household usually spend on each grocery shopping? (in USD),How much food does your household usually have leftover after each meal?,Why do you think there is leftover food in your household?,What are the reasons behind your groceries/ingredients becoming spoiled or expired?
1/11/2021 1:13:10,23,Software Engineer,Never,Once a week,Go and buy from the shop directly,60,Never have food leftover,N/A,Lazy to cook
1/11/2021 11:18:32,19,Student,Once a week,Everyday,Go and buy from the shop directly,20$+,Never have food leftover,"Cooking too much food, Cannot estimate the right amount to cook",Cannot keep track of the stuff that was bought
1/11/2021 11:19:58,22,Student ,Once a week,Twice a week,Go and buy from the shop directly,20 USD,1/3 of the food cooked,Sometimes feel not hungry and eat a little bit of food.,Buying too much in a single time
1/11/2021 11:21:07,22,developer  ,More than 3 times a week,Everyday,Go and buy from the shop directly,10-20$,1/4 of the food cooked,Cannot estimate the right amount to cook,Cannot keep track of the stuff that was bought
1/11/2021 11:21:55,21,Web Developer,More than 3 times a week,I am not the one who is shopping,Go and buy from the shop directly,5$ - 10$,1/4 of the food cooked,"Cannot estimate the right amount to cook, The food is not tasty",Cannot keep track of the stuff that was bought
1/11/2021 11:31:16,21,Student ,Never,Everyday,Go and buy from the shop directly,10$,Never have food leftover,Cooking too much food,Cannot keep track of the stuff that was bought
1/11/2021 11:37:44,22,Purchase officer,More than 3 times a week,Once every 2 week,Go and buy from the shop directly,2,Never have food leftover,The food is not tasty,Buy once use for long time
1/11/2021 11:38:47,20,Student,Twice a week,Everyday,Go and buy from the shop directly,10-20,1/4 of the food cooked,"Cooking too much food, Cannot estimate the right amount to cook, The food is not tasty","Not sure how to check the condition of the ingredients when buying, Cannot keep track of the stuff that was bought"
1/11/2021 11:40:00,19,Student,Never,Twice a week,Go and buy from the shop directly,Around 15$ to 35$,"If we can't finish all, we will give to our pets","Cannot estimate the right amount to cook, The food is not tasty","Not sure how to check the condition of the ingredients when buying, Buying too much in a single time, Cannot keep track of the stuff that was bought"
1/11/2021 11:41:56,20,University Student,Only when my mom don’t want to cook,Twice a week,Go and buy from the shop directly,20,1/4 of the food cooked,Cannot estimate the right amount to cook,Buying too much in a single time
1/11/2021 11:41:58,20,Students,Rarely,Twice a week,Go and buy from the shop directly,10-15,1/4 of the food cooked,Cooking too much food,Not sure how to check the condition of the ingredients when buying
1/11/2021 11:43:10,19,Student,Once a week,once 2 days,Go and buy from the shop directly,5,1/4 of the food cooked,Cannot estimate the right amount to cook,Cannot keep track of the stuff that was bought
1/11/2021 11:45:54,19,College student ,Once a week,Once a week,Go and buy from the shop directly,Above 10$,Never have food leftover,Cannot estimate the right amount to cook,Buying too much in a single time
1/11/2021 11:46:18,18,Student,Once a week,I am not the one who is shopping,Go and buy from the shop directly,8,1/4 of the food cooked,Cannot estimate the right amount to cook,Cannot keep track of the stuff that was bought
1/11/2021 11:47:51,22,Researcher,Once a week,Once a week,Go and buy from the shop directly,60,1/4 of the food cooked,"Cannot estimate the right amount to cook, The food is not tasty","Not sure how to check the condition of the ingredients when buying, Buying too much in a single time, Cannot keep track of the stuff that was bought"
1/11/2021 11:50:38,20,Student,More than 3 times a week,Twice a week,Go and buy from the shop directly,5-10$,1/4 of the food cooked,Ordering food from outside/eating out while there's food at home,Buying too much in a single time
1/11/2021 11:51:31,20,Student,More than 3 times a week,Twice a week,Go and buy from the shop directly,5-10$,1/4 of the food cooked,Ordering food from outside/eating out while there's food at home,Buying too much in a single time
1/11/2021 11:52:14,28,Sales,Twice a week,Twice a week,Go and buy from the shop directly,20$ per week,1/2 of the food cooked,Cannot estimate the right amount to cook,Buying too much in a single time
1/11/2021 11:57:00,22,Student,Twice a week,Everyday,Go and buy from the shop directly,Around 10$,1/4 of the food cooked,Cannot estimate the right amount to cook,Buying too much in a single time
1/11/2021 11:58:25,20,Students,Once a week,Once a week,Go and buy from the shop directly,50$,1/4 of the food cooked,Cannot estimate the right amount to cook,Buying too much in a single time
1/11/2021 12:07:05,20,Student,Never,Everyday,Go and buy from the shop directly,$5-$10,Never have food leftover,mostly no leftover,Not sure how to check the condition of the ingredients when buying
1/11/2021 12:11:17,23,Developer,Occasionally ,Everyday,Go and buy from the shop directly,$5,1/2 of the food cooked,Cooking too much food,Buying too much in a single time
1/11/2021 12:12:59,23,student,Once a week,Everyday,Go and buy from the shop directly,10,1/4 of the food cooked,Cannot estimate the right amount to cook,Cannot keep track of the stuff that was bought
1/11/2021 12:18:00,19,Student,Twice a week,I am not the one who is shopping,Go and buy from the shop directly,10-15$,1/4 of the food cooked,Ordering food from outside/eating out while there's food at home,Buying too much in a single time
1/11/2021 12:21:36,20,IT student,once a month or none for even 2 months... usually only if we have special occasion ,Twice a week,Go and buy from the shop directly,it's between 20 - 40 USD,I would say 1/5,The food is not tasty,Buying too much in a single time
